,1P_Archon,1P_Assimilator,1P_Carrier,1P_Colossus,1P_CyberneticsCore,1P_DarkShrine,1P_DarkTemplar,1P_FleetBeacon,1P_Forge,1P_Gateway,1P_HighTemplar,1P_Immortal,1P_MothershipCore,1P_Nexus,1P_Observer,1P_Oracle,1P_Phoenix,1P_PhotonCannon,1P_Probe,1P_Pylon,1P_RoboticsBay,1P_Sentry,1P_Stalker,1P_Stargate,1P_Tempest,1P_TwilightCouncil,1P_VoidRay,1P_WarpGate,1P_WarpPrism,1P_WarpPrismPhasing,1P_Zealot,1T_Armory,1T_Banshee,1T_Barracks,1T_BarracksFlying,1T_BattleHellion,1T_Battlecruiser,1T_Bunker,1T_CommandCenter,1T_EngineeringBay,1T_Factory,1T_FactoryFlying,1T_FusionCore,1T_Ghost,1T_GhostAcademy,1T_Hellion,1T_Marauder,1T_Marine,1T_Medivac,1T_MissileTurret,1T_OrbitalCommand,1T_OrbitalCommandFlying,1T_PlanetaryFortress,1T_Raven,1T_Reaper,1T_Refinery,1T_SCV,1T_SensorTower,1T_SiegeTank,1T_SiegeTankSieged,1T_Starport,1T_SupplyDepot,1T_SupplyDepotLowered,1T_Thor,1T_Viking,1T_VikingAssault,1T_WidowMine,1T_WidowMineBurrowed,1Z_Baneling,1Z_BanelingCocoon,1Z_BanelingNest,1Z_BroodLord,1Z_Broodling,1Z_Corruptor,1Z_CreepTumorBurrowed,1Z_Drone,1Z_DroneBurrowed,1Z_EvolutionChamber,1Z_Extractor,1Z_GreaterSpire,1Z_Hatchery,1Z_Hive,1Z_Hydralisk,1Z_HydraliskDen,1Z_InfestationPit,1Z_InfestedTerran,1Z_Infestor,1Z_InfestorBurrowed,1Z_Locust,1Z_Mutalisk,1Z_NydusNetwork,1Z_NydusWorm,1Z_Overlord,1Z_Overseer,1Z_OverseerCocoon,1Z_Queen,1Z_Roach,1Z_RoachBurrowed,1Z_RoachWarren,1Z_SpawningPool,1Z_SpineCrawler,1Z_SpineCrawlerUprooted,1Z_Spire,1Z_SporeCrawler,1Z_SporeCrawlerUprooted,1Z_SwarmHost,1Z_Ultralisk,1Z_UltraliskCavern,1Z_Viper,1Z_Zergling,1Z_ZerglingBurrowed,2P_Archon,2P_Assimilator,2P_Carrier,2P_Colossus,2P_CyberneticsCore,2P_DarkShrine,2P_DarkTemplar,2P_FleetBeacon,2P_Forge,2P_Gateway,2P_HighTemplar,2P_Immortal,2P_MothershipCore,2P_Nexus,2P_Observer,2P_Oracle,2P_Phoenix,2P_PhotonCannon,2P_Probe,2P_Pylon,2P_RoboticsBay,2P_Sentry,2P_Stalker,2P_Stargate,2P_Tempest,2P_TwilightCouncil,2P_VoidRay,2P_WarpGate,2P_WarpPrism,2P_WarpPrismPhasing,2P_Zealot,2T_Armory,2T_Banshee,2T_Barracks,2T_BarracksFlying,2T_BattleHellion,2T_Battlecruiser,2T_Bunker,2T_CommandCenter,2T_CommandCenterFlying,2T_EngineeringBay,2T_Factory,2T_FactoryFlying,2T_FusionCore,2T_Ghost,2T_GhostAcademy,2T_Hellion,2T_Marauder,2T_Marine,2T_Medivac,2T_MissileTurret,2T_OrbitalCommand,2T_OrbitalCommandFlying,2T_PlanetaryFortress,2T_Raven,2T_Reaper,2T_Refinery,2T_SCV,2T_SensorTower,2T_SiegeTank,2T_SiegeTankSieged,2T_Starport,2T_StarportFlying,2T_SupplyDepot,2T_SupplyDepotLowered,2T_Thor,2T_Viking,2T_VikingAssault,2T_WidowMine,2T_WidowMineBurrowed,2Z_Baneling,2Z_BanelingBurrowed,2Z_BanelingCocoon,2Z_BanelingNest,2Z_BroodLord,2Z_BroodLordCocoon,2Z_Broodling,2Z_Corruptor,2Z_CreepTumorBurrowed,2Z_Drone,2Z_DroneBurrowed,2Z_EvolutionChamber,2Z_Extractor,2Z_GreaterSpire,2Z_Hatchery,2Z_Hive,2Z_Hydralisk,2Z_HydraliskDen,2Z_InfestationPit,2Z_InfestedTerran,2Z_Infestor,2Z_InfestorBurrowed,2Z_Lair,2Z_Locust,2Z_Mutalisk,2Z_NydusNetwork,2Z_NydusWorm,2Z_Overlord,2Z_Overseer,2Z_Queen,2Z_Roach,2Z_RoachBurrowed,2Z_RoachWarren,2Z_SpawningPool,2Z_SpineCrawler,2Z_SpineCrawlerUprooted,2Z_Spire,2Z_SporeCrawler,2Z_SwarmHost,2Z_Ultralisk,2Z_UltraliskCavern,2Z_Viper,2Z_Zergling,2Z_ZerglingBurrowed,winner
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,1.0,,,,,,17.0,5.0,,3.0,,,,,,34.0,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,46.0,22.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
11,,6.0,,,,,,,1.0,,,,,,,,,,51.0,16.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,38.0,,4.0,3.0,,,,,,53.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,46.0,10.0,22.0,2.0,,,,,,60.0,,,,,17.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,47.0,19.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,65.0,9.0,4.0,,,,,,8.0,29.0,,3.0,6.0,,,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,17.0,5.0,,,,,,,,47.0,1.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,69.0,11.0,,3.0,,,,,7.0,54.0,,4.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,17.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,24.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,27.0,,,,,,,,4.0,7.0,,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,44.0,10.0,,,,,,,6.0,67.0,,5.0,,,,9.0,11.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,13.0,,,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,3.0,1.0,,,,55.0,14.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,12.0,14.0,6.0,,,,,,,4.0,36.0,,,,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,49.0,15.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
20,,8.0,,,1.0,,,,,,,,,,,,,,64.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,14.0,,3.0,,,,,,6.0,17.0,,,,,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,2.0,,,,,,,,12.0,,,3.0,,,,,4.0,24.0,,,,,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,1.0,,,,,,,,,,,,41.0,23.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,3.0,,,,,6.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,31.0,,,,,1.0,,,8.0,63.0,4.0,13.0,,,,11.0,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,54.0,,,,,,,,,7.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,3.0,,,,,4.0,12.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,24.0,,,,,,,,6.0,53.0,,,2.0,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,42.0,,,,,,,,,52.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,13.0,,,3.0,,,,,,68.0,,2.0,,,,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,1.0,,3.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,6.0,,2.0,,,,,,,,,,,,,16.0,,2.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,14.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,53.0,,2.0,10.0,,6.0,1.0,17.0,,,,,,,,,,,18.0,3.0,,32.0,,,,,,,,,,,,,,2.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2.0,,3.0,,,,,,42.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,,,,40.0,,,3.0,,,,,,53.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,28.0,,,,,,,,,22.0,,4.0,,,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,49.0,7.0,,,,,,,6.0,69.0,,3.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,15.0,,,,,,,,,47.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2.0,,,,,,,45.0,,,3.0,,,6.0,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,31.0,,,,,,,,,67.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,6.0,3.0,,,,,,4.0,41.0,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
